id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
2716,median 30.0 nm; range 1.0-200.0 nm,-15.81 mV,,Copper/Copper Oxide,,"Toxic % 70.3; Toxic: 45, Non-toxic: 19",30.0,-15.81,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copper/Copper Oxide,94.0,45.0,19.0,30.0,70.3,20.5,9.5,89.0,1.0,200.0,40.33474157303371,30.0,24.0,0.0,987.4,197.8308333333333,165.9,14.0,0.1,1.0,0.3189285714285714,0.2055,24.0,-50.6,50.0,-10.97458333333334,-15.81,19.0,1.0,940.0,72.23947368421052,15.0,14.0,1.557,4.38,2.478357142857143,2.17,42.0,4.0,7.84,7.000238095238095,7.2,49.0,0.0,100.0,41.61781632653061,36.0,20.0,0.0136,96.0,23.44468,2.0,6.0,0.0,10.0,1.9057,0.0171,13.0,0.0,336.0,77.53846153846153,50.0,11.0,0.16,110.0,30.53454545454546,20.5,15.0,0.45,320.0,52.89133333333334,9.5,12.0,12.5,5000.0,1264.625,717.5,86.0,0.0,96.0,23.68604651162791,24.0,33.86072727272727,52.51166666666667,171.044,222.5266666666667,0.4221666666666666,,-12.34181818181818,-11.97,24.41818181818182,50.5,2.133857142857143,,6.677777777777778,7.071428571428571,30.21586842105263,81.00636363636364,30.61142857142857,20.332,2.00684,1.4,107.6888888888889,9.7,18.19666666666667,45.34,33.81214285714285,320.0,702.2142857142857,,21.71111111111111,32.38888888888889
2717,median 3.0 nm; range 3.0-3.0 nm,-25.6 mV,,Diamond,,"Toxic % 0.0; Toxic: 0, Non-toxic: 1",3.0,-25.6,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,1.0,0.0,1.0,0.0,0.0,,,1.0,3.0,3.0,3.0,3.0,1.0,241.0,241.0,241.0,241.0,0.0,,,,,1.0,-25.6,-25.6,-25.6,-25.6,1.0,282.0,282.0,282.0,282.0,0.0,,,,,1.0,8.0,8.0,8.0,8.0,1.0,100.0,100.0,100.0,100.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,24.0,24.0,24.0,24.0,,3.0,,241.0,,,,-25.6,,282.0,,,,8.0,,100.0,,,,,,,,,,,,,,24.0
2718,median 10.0 nm; range 10.0-36.64 nm,-37.4 mV,,Fullerene,,"Toxic % 40.0; Toxic: 2, Non-toxic: 3",10.0,-37.4,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fullerene,6.0,2.0,3.0,1.0,40.0,48.0,,3.0,10.0,36.64,18.88,10.0,1.0,142.0,142.0,142.0,142.0,0.0,,,,,1.0,-37.4,-37.4,-37.4,-37.4,1.0,10.58,10.58,10.58,10.58,0.0,,,,,2.0,7.0,7.0,7.0,7.0,2.0,-4.17,73.91,34.87,34.87,0.0,,,,,0.0,,,,,0.0,,,,,2.0,48.0,48.0,48.0,48.0,0.0,,,,,2.0,896.0,896.0,896.0,896.0,5.0,2.0,48.0,21.2,6.0,36.64,10.0,142.0,,,,-37.4,,10.58,,,,7.0,7.0,-4.17,73.91,,,,,,,,48.0,,,896.0,896.0,4.0,32.66666666666666
2719,category summary,category summary,,Gadolinium Oxide,,"Toxic % 100.0; Toxic: 1, Non-toxic: 0",,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gadolinium Oxide,1.0,1.0,0.0,0.0,100.0,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,7.4,7.4,7.4,7.4,0.0,,,,,0.0,,,,,0.0,,,,,1.0,84.0,84.0,84.0,84.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,84.0,84.0,84.0,84.0,,,,,,,,,,,,,7.4,,,,,,,,84.0,,,,,,,,84.0,
2720,median 200.0 nm; range 200.0-200.0 nm,category summary,,Glass Nanoparticle,,"Toxic % 0.0; Toxic: 0, Non-toxic: 1",200.0,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glass Nanoparticle,1.0,0.0,1.0,0.0,0.0,,,1.0,200.0,200.0,200.0,200.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,7.4,7.4,7.4,7.4,1.0,100.0,100.0,100.0,100.0,1.0,4.0,4.0,4.0,4.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,4.0,4.0,4.0,4.0,,200.0,,,,,,,,,,,,7.4,,100.0,,4.0,,,,,,,,,,,,4.0
2721,median 30.0 nm; range 1.0-215.0 nm,-5.2 mV,,Gold,,"Toxic % 45.9; Toxic: 34, Non-toxic: 40",30.0,-5.2,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gold,107.0,34.0,40.0,33.0,45.9,6.55,23.35,95.0,1.0,215.0,38.25084210526316,30.0,22.0,3.0,171.46,56.035,45.425,14.0,0.024,0.2845,0.1404642857142857,0.125,59.0,-69.5,58.7,-0.282033898305085,-5.2,4.0,0.96,12.52,4.525,2.31,0.0,,,,,21.0,4.44,7.4,7.135238095238097,7.4,57.0,0.0,116.0,72.28070175438596,90.0,6.0,0.12,40.0,7.370000000000001,1.2,7.0,0.0,10.55,3.1295,0.0565,16.0,-1.0,130.0,43.53125,39.6,8.0,0.15,165.0,38.103535,6.55,14.0,0.01,143.0,46.66142857142857,23.35,3.0,100.0,106.0,104.0,106.0,81.0,1.0,96.0,19.55555555555556,10.0,42.48633333333333,39.46944444444444,51.6,65.14285714285714,,0.1055,7.742000000000002,-3.601470588235295,,,,,7.145714285714289,7.0,39.71739130434783,94.30882352941177,13.9,,10.225,0.2913,67.42,3.716666666666667,6.638046666666667,132.5,20.38727272727273,143.0,100.0,,20.92857142857143,16.75
2722,median 29.31 nm; range 0.05-3420.0 nm,-25.7 mV,,Graphene,,"Toxic % 50.4; Toxic: 63, Non-toxic: 62",29.31,-25.7,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graphene,157.0,63.0,62.0,32.0,50.4,70.0,87.0,115.0,0.05,3420.0,147.6255826086957,29.31,51.0,3.0,6380.0,778.6349019607844,300.0,16.0,0.159,0.81,0.366375,0.377,52.0,-61.9,50.0,-22.70657692307692,-25.7,14.0,10.0,750.0,347.7142857142857,285.0,1.0,2.7,2.7,2.7,2.7,69.0,4.1,10.0,7.031884057971014,7.2,103.0,0.0,293.0,52.86495145631068,58.0,7.0,4.0,32.0,15.71428571428571,14.0,12.0,0.0,87.0,12.74175,1.1155,18.0,-5.41,100.0,27.345,12.825,5.0,4.5,428.0,121.4378,70.0,19.0,3.0,676.0,141.6121052631579,87.0,4.0,0.94,500.0,142.735,35.0,144.0,1.0,96.0,22.125,24.0,220.5109803921569,95.71048780487806,1022.778125,695.9812499999999,0.25325,0.4676666666666667,-23.369,-19.35675,471.4444444444445,201.6666666666667,2.7,,6.827999999999999,7.263157894736842,19.02301886792453,88.73740000000002,9.333333333333334,9.0,17.58375,3.05775,57.14285714285715,8.382727272727273,36.39633333333333,249.0,96.34750000000001,219.2085714285714,10.47,500.0,24.71311475409836,20.57258064516129
2723,category summary,category summary,,Hydrogel,,"Toxic % 0.0; Toxic: 0, Non-toxic: 2",,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrogel,2.0,0.0,2.0,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,3.0,3.0,3.0,3.0,0.0,,,,,2.0,6.0,6.0,6.0,6.0,2.0,100.0,100.0,100.0,100.0,2.0,7.0,7.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,3.0,,,,6.0,,100.0,,7.0,,0.0,,,,,,,,,,1.0
2724,median 21.0 nm; range 20.0-50.0 nm,category summary,,Hydroxyapatite,,"Toxic % 28.6; Toxic: 2, Non-toxic: 5",21.0,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydroxyapatite,9.0,2.0,5.0,2.0,28.6,,3.0,6.0,20.0,50.0,28.66666666666667,21.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,23.33,23.33,23.33,23.33,1.0,3.3,3.3,3.3,3.3,2.0,5.5,5.5,5.5,5.5,3.0,-2.0,95.0,44.33333333333334,40.0,0.0,,,,,0.0,,,,,2.0,10.1,25.3,17.7,17.7,0.0,,,,,1.0,3.0,3.0,3.0,3.0,0.0,,,,,4.0,5.0,24.0,10.0,5.5,21.0,32.5,,,,,,,,23.33,3.3,,,5.5,19.0,95.0,,,,,,17.7,,,3.0,,,,24.0,5.0
2725,median 42.9 nm; range 35.8-50.0 nm,-32.11 mV,,Indium Oxide,,"Toxic % 100.0; Toxic: 2, Non-toxic: 0",42.9,-32.11,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indium Oxide,2.0,2.0,0.0,0.0,100.0,,,2.0,35.8,50.0,42.9,42.9,2.0,212.7,785.12,498.91,498.91,1.0,0.13,0.13,0.13,0.13,1.0,-32.11,-32.11,-32.11,-32.11,1.0,15.0,15.0,15.0,15.0,0.0,,,,,1.0,7.2,7.2,7.2,7.2,2.0,0.0,6.0,3.0,3.0,1.0,1.1,1.1,1.1,1.1,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,1.0,3.0,2.0,2.0,42.9,,498.91,,0.13,,-32.11,,15.0,,,,7.2,,3.0,,1.1,,,,,,,,,,,,2.0,
2726,median 3.0 nm; range 1.8-126.0 nm,-6.4 mV,,Iridium,,"Toxic % 60.0; Toxic: 6, Non-toxic: 4",3.0,-6.4,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iridium,19.0,6.0,4.0,9.0,60.0,,1.105,17.0,1.8,126.0,23.34705882352941,3.0,6.0,2.0,168.0,48.46666666666667,30.0,4.0,1.37,1.69,1.5875,1.645,3.0,-11.7,-0.407,-6.169,-6.4,0.0,,,,,2.0,2.54,3.26,2.9,2.9,5.0,7.2,7.4,7.32,7.4,10.0,1.0,400.0,78.1,45.0,1.0,44.0,44.0,44.0,44.0,4.0,16.1,69.61,32.07,21.285,1.0,1.5,1.5,1.5,1.5,0.0,,,,,2.0,0.89,1.32,1.105,1.105,0.0,,,,,19.0,1.0,180.0,43.05263157894737,24.0,40.0,2.7,57.5,30.4,,,-6.169,,,,,2.9,7.32,,23.0,160.75,44.0,,32.07,,1.5,,,,1.105,,,,21.16666666666667,18.25
2727,median 19.7 nm; range 0.0-1566.0 nm,-14.45 mV,,Iron Oxide,,"Toxic % 61.6; Toxic: 204, Non-toxic: 127",19.7,-14.45,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iron Oxide,695.0,204.0,127.0,364.0,61.6,53.35,59.53,459.0,0.0,1566.0,43.37420479302833,19.7,177.0,1.025,2078.9,151.5589548022599,51.8,25.0,0.128,12.0,1.6976,0.5,122.0,-77.0,65.0,-9.252131147540986,-14.45,34.0,4.0,180.0,51.36341176470589,38.785,7.0,1.88,4.28,3.058571428571429,3.6,89.0,4.0,9.01,6.901460674157303,7.2,207.0,-231.0,549.0,67.60392270531402,50.0,27.0,0.43,110.0,29.83592592592592,7.6,7.0,0.0,150.0,61.57142857142857,50.0,40.0,-2.42,550.0,96.44325,21.5,5.0,2.3,67.431,45.7422,53.35,40.0,-231.0,2260.0,261.231525,59.53,15.0,0.02,2659.0,685.7,100.0,524.0,0.0,929.0,25.17870229007633,24.0,32.34468085106383,46.7225,193.8871774193548,151.5628888888889,2.759636363636364,0.9162999999999999,-5.089756097560977,-6.041515151515152,48.46571428571428,74.33333333333333,3.65,2.175,6.821428571428571,6.982307692307692,36.78757723577235,112.7278571428571,29.87,40.97416666666667,86.0,0.5,138.2707407407407,9.570769230769232,45.7422,,168.0733703703704,454.7138461538461,795.1471428571429,58.62333333333333,24.97865853658537,35.45683168316832
2728,median 30.0 nm; range 30.0-30.0 nm,category summary,,Lanthanum Oxide,,"Toxic % 100.0; Toxic: 1, Non-toxic: 0",30.0,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lanthanum Oxide,1.0,1.0,0.0,0.0,100.0,,,1.0,30.0,30.0,30.0,30.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,29.6,29.6,29.6,29.6,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,456.9,456.9,456.9,456.9,1.0,2.0,2.0,2.0,2.0,30.0,,,,,,,,,,,,,,29.6,,,,,,,,,,,,456.9,,2.0,
2729,median 47.0 nm; range 47.0-47.0 nm,42.0 mV,,Lead Oxide,,"Toxic % 100.0; Toxic: 1, Non-toxic: 0",47.0,42.0,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead Oxide,1.0,1.0,0.0,0.0,100.0,,,1.0,47.0,47.0,47.0,47.0,0.0,,,,,0.0,,,,,1.0,42.0,42.0,42.0,42.0,1.0,6.0,6.0,6.0,6.0,0.0,,,,,1.0,7.3,7.3,7.3,7.3,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,6.0,6.0,6.0,6.0,47.0,,,,,,42.0,,6.0,,,,7.3,,,,,,,,,,,,,,,,6.0,
2730,median 100.65 nm; range 0.06-262.0 nm,-1.31 mV,,Liposome,,"Toxic % 53.7; Toxic: 44, Non-toxic: 38",100.65,-1.31,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liposome,179.0,44.0,38.0,97.0,53.7,,50.0,104.0,0.06,262.0,91.6464423076923,100.65,72.0,0.1,386.0,145.5215277777778,143.5,74.0,0.029,2.0,0.4174459459459459,0.185,81.0,-59.4,42.9,-1.269876543209877,-1.31,1.0,14.0,14.0,14.0,14.0,0.0,,,,,37.0,2.0,8.1,7.094594594594595,7.4,61.0,-1.0,100.0,42.14613114754098,46.0,30.0,-1640.0,100.0,-5.283333333333333,50.0,10.0,6.0,72.0,29.6,31.0,2.0,-7.0,-7.0,-7.0,-7.0,0.0,,,,,31.0,-7.0,3000.0,485.6619354838709,50.0,26.0,3.8,5000.0,201.8,9.9,149.0,1.0,72.0,30.04026845637584,24.0,99.08677419354841,43.18181818181818,153.1736842105263,232.42,0.31544,0.1685714285714286,-5.80625,-2.358750000000001,14.0,,,,7.539999999999999,7.411764705882354,18.28721052631579,81.56521739130434,-134.25,36.0,43.33333333333334,9.0,-7.0,,,,547.7933333333333,567.3333333333334,10.8,,31.47727272727273,16.92105263157895
2731,category summary,category summary,,MXene,,"Toxic % 0.0; Toxic: 0, Non-toxic: 0",,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MXene,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.6,1.6,1.6,1.6,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,median 33.0 nm; range 3.0-100.0 nm,-1.3 mV,,Magnesium Oxide,,"Toxic % 52.2; Toxic: 12, Non-toxic: 11",33.0,-1.3,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnesium Oxide,33.0,12.0,11.0,10.0,52.2,30.0,357.745,31.0,3.0,100.0,41.10645161290323,33.0,10.0,89.0,2349.0,649.9,221.45,5.0,0.444,1.132,0.6564,0.598,12.0,-25.5,39.2,-1.583333333333333,-1.3,2.0,10.46,123.0,66.73,66.73,0.0,,,,,15.0,5.6,9.6,7.2,7.4,21.0,-174.0,100.0,53.02285714285714,60.0,4.0,2.0,87.9,34.40000000000001,23.85,5.0,0.32,55.0,35.064,40.0,5.0,12.5,50.0,42.5,50.0,4.0,14.0,33.0,26.75,30.0,12.0,13.5,1513.0,413.9800000000001,357.745,1.0,2000.0,2000.0,2000.0,2000.0,30.0,5.0,48.0,25.96666666666667,24.0,54.11666666666667,36.33,397.6333333333334,1467.333333333333,0.631,,-6.933333333333334,18.66,10.46,123.0,,,7.300000000000001,8.0,25.566,77.98363636363636,,45.20000000000001,43.75,0.32,42.5,,20.5,33.0,229.1844444444445,968.3666666666667,,,25.0,27.18181818181818
2733,median 40.6 nm; range 0.5-200.0 nm,-1.27 mV,,Manganese Oxide,,"Toxic % 56.5; Toxic: 26, Non-toxic: 20",40.6,-1.27,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manganese Oxide,61.0,26.0,20.0,15.0,56.5,0.12,0.5,59.0,0.5,200.0,68.41406779661017,40.6,21.0,50.0,1372.0,372.0666666666667,299.6,6.0,0.183,0.539,0.327,0.31,23.0,-37.3,30.0,-1.47695652173913,-1.27,16.0,2.0,164.0,36.778125,13.5,1.0,3.99,3.99,3.99,3.99,26.0,5.5,7.4,7.050000000000001,7.25,32.0,0.0,1080.0,104.80375,30.0,12.0,0.01,100.0,37.6225,7.475,0.0,,,,,7.0,-7.0,129.0,45.04714285714285,33.0,1.0,0.12,0.12,0.12,0.12,9.0,0.0069,170.0,42.94632222222222,0.5,0.0,,,,,57.0,1.0,98.0,16.45614035087719,6.0,75.31461538461538,59.33111111111111,576.74,216.2222222222222,0.3063333333333333,0.183,4.553,-10.59090909090909,14.85,31.625,3.99,,6.957142857142856,7.1625,22.10571428571428,262.6818181818182,45.404,4.7375,,,65.866,-7.0,,0.12,55.00241428571428,0.75,,,15.34615384615385,19.33333333333333
2734,median 50.0 nm; range 0.71-800.0 nm,-27.0 mV,,Molybdenum,,"Toxic % 54.2; Toxic: 13, Non-toxic: 11",50.0,-27.0,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molybdenum,43.0,13.0,11.0,19.0,54.2,,430.0,41.0,0.71,800.0,96.92780487804878,50.0,11.0,0.12,1600.0,236.5563636363636,78.8,6.0,0.2,1.9,0.5076666666666667,0.218,15.0,-78.3,46.0,-21.17133333333333,-27.0,6.0,0.0535,14.0,5.871533333333333,4.5414,2.0,1.4,1.67,1.535,1.535,14.0,4.63,8.0,6.692142857142857,7.3,21.0,0.0,100.0,48.23333333333333,50.0,2.0,0.5,10.01,5.255,5.255,1.0,0.2,0.2,0.2,0.2,7.0,0.0,50.0,14.80428571428572,1.48,0.0,,,,,5.0,30.0,800.0,362.0,430.0,2.0,106.0,8000.0,4053.0,4053.0,33.0,1.0,72.0,16.12121212121212,14.0,55.67916666666667,95.24272727272727,114.9,354.2366666666667,,0.2366666666666667,-0.7666666666666657,-20.18333333333333,0.08973333333333333,,1.67,1.4,5.703333333333333,6.938333333333333,23.24166666666666,81.55555555555556,5.255,,0.2,,25.37,0.7166666666666667,,,40.0,576.6666666666666,4053.0,,14.69230769230769,21.27272727272727
2735,median 37.09999999999999 nm; range 5.3-240.0 nm,-8.01 mV,,Nickel/Nickel Oxide,,"Toxic % 62.5; Toxic: 25, Non-toxic: 15",37.09999999999999,-8.01,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nickel/Nickel Oxide,52.0,25.0,15.0,12.0,62.5,62.415,48.0,50.0,5.3,240.0,46.3508,37.09999999999999,19.0,5.0,1600.0,299.2563157894737,154.1,4.0,0.299,1.0,0.47925,0.309,8.0,-36.0,25.3,-8.870000000000001,-8.01,15.0,4.79,180.0,53.57733333333334,50.0,24.0,2.41,5.1,3.5925,3.545,17.0,5.8,8.3,7.023529411764706,7.2,32.0,-7.0,100.0,47.034375,39.0,14.0,1.1,97.0,19.16928571428571,6.0,6.0,0.0,5.6,1.5,0.5,4.0,0.125,40.1,19.80625,19.5,2.0,45.0,79.83,62.415,62.415,19.0,10.3,2560.0,248.9178947368421,48.0,1.0,50.0,50.0,50.0,50.0,52.0,1.0,72.0,17.73076923076923,24.0,40.238,40.46142857142858,165.6957142857143,412.0,0.299,1.0,-2.219999999999999,-6.824999999999999,5.98,50.00333333333333,3.566470588235294,3.772,7.233333333333333,6.942857142857142,31.09130434782609,87.77777777777777,11.37,9.65,4.0,0.25,32.05,7.5625,62.415,,301.9426666666666,50.075,50.0,,21.36,20.73333333333333
2736,median 50.0 nm; range 35.0-120.0 nm,24.7 mV,,Other,,"Toxic % 30.0; Toxic: 3, Non-toxic: 7",50.0,24.7,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,10.0,3.0,7.0,0.0,30.0,,7.5,7.0,35.0,120.0,65.0,50.0,6.0,48.4,1026.9,256.545,100.4,3.0,0.137,0.143,0.1393333333333333,0.138,2.0,17.0,32.4,24.7,24.7,0.0,,,,,0.0,,,,,7.0,7.0,8.5,7.434285714285714,7.02,7.0,1.1,174.0,103.3,85.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,5.0,1.6,254.0,89.386,7.5,1.0,2.3,2.3,2.3,2.3,10.0,5.0,24.0,11.4,6.5,,65.0,,256.545,,0.1393333333333333,,24.7,,,,,,7.434285714285714,15.55,138.4,,,,,,,,,3.643333333333333,218.0,2.3,,24.0,6.0
2737,median 15.1 nm; range 15.1-15.1 nm,-27.8 mV,,Palladium,,"Toxic % 0.0; Toxic: 0, Non-toxic: 1",15.1,-27.8,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palladium,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,15.1,15.1,15.1,15.1,1.0,127.0,127.0,127.0,127.0,0.0,,,,,1.0,-27.8,-27.8,-27.8,-27.8,1.0,33.0,33.0,33.0,33.0,0.0,,,,,1.0,5.9,5.9,5.9,5.9,1.0,50.0,50.0,50.0,50.0,1.0,0.24,0.24,0.24,0.24,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,,,,1.0,30.0,30.0,30.0,30.0,,15.1,,127.0,,,,-27.8,,33.0,,,,5.9,,50.0,,0.24,,,,,,,,1.0,,,,30.0
2738,median 70.0 nm; range 70.0-70.0 nm,-12.2 mV,,Platinum,,"Toxic % 100.0; Toxic: 1, Non-toxic: 0",70.0,-12.2,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platinum,1.0,1.0,0.0,0.0,100.0,,,1.0,70.0,70.0,70.0,70.0,1.0,112.4,112.4,112.4,112.4,0.0,,,,,1.0,-12.2,-12.2,-12.2,-12.2,0.0,,,,,0.0,,,,,0.0,,,,,1.0,25.0,25.0,25.0,25.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,70.0,,112.4,,,,-12.2,,,,,,,,25.0,,,,,,,,,,,,,,,
2739,median 121.0 nm; range 3.0-595.0 nm,-1.655 mV,,Polymer Nanoparticle,,"Toxic % 37.5; Toxic: 9, Non-toxic: 15",121.0,-1.655,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polymer Nanoparticle,56.0,9.0,15.0,32.0,37.5,,,47.0,3.0,595.0,166.1,121.0,28.0,46.6,369.0,138.0503571428571,116.25,27.0,0.04,0.425,0.196,0.201,14.0,-50.0,200.0,48.01142857142857,-1.655,1.0,75.439,75.439,75.439,75.439,0.0,,,,,22.0,6.8,7.4,7.336363636363638,7.4,17.0,0.0,100.0,59.76352941176471,74.36,12.0,4.0,718.0,258.8333333333333,222.5,4.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,17.0,50.0,850.0,755.8823529411765,850.0,41.0,1.0,240.0,35.48780487804878,24.0,192.7142857142857,286.5714285714286,183.2,199.52,0.24725,0.3138333333333334,114.78,28.7,,,,,7.066666666666666,7.266666666666667,7.166666666666667,88.45272727272727,,,0.0,0.0,,,,,,,50.0,,10.5,15.23076923076923
2740,median 192.0 nm; range 192.0-192.0 nm,-34.0 mV,,Protein Nanoparticle,,"Toxic % 0.0; Toxic: 0, Non-toxic: 0",192.0,-34.0,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein Nanoparticle,2.0,0.0,0.0,2.0,0.0,,,2.0,192.0,192.0,192.0,192.0,2.0,192.0,192.0,192.0,192.0,2.0,0.1,0.1,0.1,0.1,2.0,-34.0,-34.0,-34.0,-34.0,0.0,,,,,0.0,,,,,2.0,7.4,7.4,7.4,7.4,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
